author,comment,normalized_comment,likes,published_at,reply_count,time,relevance/keep for review,low_content,duplicate,other(notes),kategorisierung,vergleich,distinktheit,repräsentation,stereotypen,identität,position,fragment,sagbarkeitsfeld,macht_wissen,fantasy_booking
@nilesrodriguez4343,Hope Swerve stays champ for a long time,hope swerve stays champ for a long time,2,2024-04-28T07:24:16Z,0,,1,0,0,,0,0,0,0,0,0,1,0,0,0,0
@joshtapiwa541,Talent is also largely scripted bro,talent is also largely scripted bro,0,2024-04-28T07:32:51Z,0,,1,0,0,bezug auf z.78 @CNormanHocker,0,1,0,0,0,0,2,"Betonung des geskripteten Charakters von Wrestling als Faktor für Erfolg und Titelgewinne, unabhängig von Talent oder Identität",0,1,0
@KarelTheKaiser,This should have been the 1st thing we saw on Dynamite.,this should have been the 1st thing we saw on dynamite.,4,2024-04-28T07:40:26Z,0,,0,0,1,,,,,,,,,,,,
@Itsnowthetime,Let’s go‼️‼️‼️ The Champ is Here,let’s go‼️‼️‼️ the champ is here,4,2024-04-28T07:41:43Z,0,,1,0,0,,0,0,0,0,0,0,1,0,0,0,0
@sethfrego6333,Claudio deserves this way more than swerve.,claudio deserves this way more than swerve.,2,2024-04-28T07:42:52Z,0,,1,0,0,,0,1,0,0,0,0,3,vergleich zweier wrestler in hinblick auf subjektiven verdienst,0,0,0
@jamesarnold7253,"Manchester City have played twice this week. That's unnecessary when THEY'RE THE CHAMPIONS.

See how that makes no sense in a sports context?",manchester city have played twice this week. that's unnecessary when they're the champions. see how that makes no sense in a sports context?,3,2024-04-28T07:43:52Z,0,,1,0,0,bezug auf z.36 @IAmImprintJones,0,1,0,0,0,0,2,"Vergleich zwischen Wrestling und einer anderen Sportart, um die Argumentation eines Kommentars zu entkräften",0,0,0
@RandyPrice-pr3lj,Swerve has earned his title 💯 🫡 he has put the work in to get where he is! I like swerve but I think 💭 that dance 🕺 thing is kinda corny other then that the dude is very damn good! 💯,swerve has earned his title 💯 🫡 he has put the work in to get where he is! i like swerve but i think 💭 that dance 🕺 thing is kinda corny other then that the dude is very damn good! 💯,0,2024-04-28T07:52:56Z,0,,1,0,0,,0,0,1,0,1,0,1,0,0,0,0
@TheKingxj,🔥🔥🔥👏🏿👏🏿👏🏿,🔥🔥🔥👏🏿👏🏿👏🏿,0,2024-04-28T07:53:21Z,0,,0,1,0,,,,,,,,,,,,
@YamiKuraUWU,Well deserved swerve congratulations,well deserved swerve congratulations,1,2024-04-28T07:55:25Z,0,,1,0,1,,0,0,1,0,0,0,1,0,0,0,0
@iDaVisionEnt,AEW has the best looking belt to me,aew has the best looking belt to me,3,2024-04-28T07:57:15Z,0,,0,0,1,,,,,,,,,,,,
@MrRelic20,Shout out to swerve the man has come a long way and damn that championship looks good on him. He deserves it!!! WHO’S HOUSE ?!?!?!,shout out to swerve the man has come a long way and damn that championship looks good on him. he deserves it!!! who’s house ?!?!?!,1,2024-04-28T08:02:43Z,0,,1,0,1,könnte man als doppelung betrachten,0,0,1,0,0,1,1,0,0,0,0
@kr6productions,"I know the significance of DailyPlace and AEW, but surely they could've had more people in arena?","i know the significance of dailyplace and aew, but surely they could've had more people in arena?",0,2024-04-28T08:04:37Z,3,,0,0,0,,,,,,,,,,,,
@Dennis30000,Who's house?,who's house?,0,2024-04-28T08:11:45Z,0,,0,0,1,,,,,,,,,,,,
@JohnnyInvestor,Nice belt,nice belt,0,2024-04-28T08:15:22Z,0,,0,0,0,,,,,,,,,,,,
@CarsonSenseney_metal_head666,Why couldn't y'all do this on Dynamite instead of giving him a throw away match on live television?,why couldn't y'all do this on dynamite instead of giving him a throw away match on live television?,0,2024-04-28T08:18:08Z,0,,0,0,1,,,,,,,,,,,,
@blunelson8226,Why wasn't this on Wednesday? It a shame he will be losing the title at all in.,why wasn't this on wednesday? it a shame he will be losing the title at all in.,0,2024-04-28T08:25:38Z,0,,1,0,0,inhaltliche dopplung,0,0,0,1,0,0,3,0,0,1,0
@Shrieqer,"Happy for Swerve, but AEW really needs to up the production value for him now he’s champ. His entrance video looks like it was made by a YouTuber, and the “who’s house” gimmick is getting annoying. Makes him seem like a juvenile joke instead of a fearsome mogul.","happy for swerve, but aew really needs to up the production value for him now he’s champ. his entrance video looks like it was made by a youtuber, and the “who’s house” gimmick is getting annoying. makes him seem like a juvenile joke instead of a fearsome mogul.",1,2024-04-28T08:30:34Z,0,,1,0,0,,0,0,0,0,0,1,3,0,0,1,0
@angelcaido79,"All the respect to the formers champions but these is the first time the AEW world heavyweight champion looks good on somebody, hope Swerve have a good run with the big gold","all the respect to the formers champions but these is the first time the aew world heavyweight champion looks good on somebody, hope swerve have a good run with the big gold",1,2024-04-28T08:33:33Z,0,,1,0,0,,0,1,1,0,0,1,1,0,0,0,0
@johnleelee1558,"What is so great about that championship, when you are just acting only?","what is so great about that championship, when you are just acting only?",0,2024-04-28T08:36:20Z,0,,1,0,0,,0,0,0,0,0,0,3,authentizität des wrestlings (wird infrage gestellt),0,0,0
@DOUBLE.OR.NOTHING,AEW IS THE BEST 👍🏼,aew is the best 👍🏼,6,2024-04-28T08:36:37Z,2,,0,0,0,,,,,,,,,,,,
@CHUCKECHEESERANCH,You're just conditioned to the rope opera that is the E where you get 5 weeks of promos before an actual match. Swerve is a fighting champion 🏆💪,you're just conditioned to the rope opera that is the e where you get 5 weeks of promos before an actual match. swerve is a fighting champion 🏆💪,1,2024-04-28T08:38:41Z,0,,1,0,0,bezug auf z.36 @IAmImprintJones,0,1,1,0,0,0,1,0,0,0,0
@CHUCKECHEESERANCH,​​​@@Jungletraveler00_12Claudio is awesome in the ring but not at Swerves level on the mic. If he gets that he's a real threat for the world title 👍,@jungletraveler00_12claudi o is awesome in the ring but not at swerves level on the mic. if he gets that he's a real threat for the world title 👍,2,2024-04-28T08:41:33Z,0,,1,0,0,bezug auf z.168 @Jungletraveler00_12,0,1,1,0,0,0,1,0,0,0,1
@soloslime555,Swerve as champion was the right damn call he truly deserves the bigger spotlight,swerve as champion was the right damn call he truly deserves the bigger spotlight,10,2024-04-28T08:43:42Z,0,,1,0,0,,0,0,1,0,0,0,1,0,0,0,0
@paulevans6076,They're totally setting up a Swerve v  Perry match somewhere down the line for the gold,they're totally setting up a swerve v perry match somewhere down the line for the gold,1,2024-04-28T08:44:23Z,0,,0,0,0,"fantasy booking, relevanz unklar",,,,,,,,,,,
@CHUCKECHEESERANCH,Gotta be someone at Swerves level. No one else of his skin tone had the total package on the mic and in the ring. They aren't just gonna give it to someone because of skin color is all I'm saying.,gotta be someone at swerves level. no one else of his skin tone had the total package on the mic and in the ring. they aren't just gonna give it to someone because of skin color is all i'm saying.,0,2024-04-28T08:46:23Z,0,,1,0,0,bezug auf z.80 @lv34ever29,1,1,1,1,1,1,2,0,0,1,0
@Jungletraveler00_12,@@gmac673 what a weirdo !,@gmac67 3 what a weirdo !,3,2024-04-28T08:47:11Z,0,,0,0,0,bezug auf z.270 @gmac673,,,,,,,,,,,
@ESMITH4,No interview with Tony Shivani?,no interview with tony shivani?,0,2024-04-28T08:54:36Z,0,,0,0,0,,,,,,,,,,,,
@CHUCKECHEESERANCH,"​@@thedoobieshrew0244Your just hating, if he can help buildup the punk show (collision) why shouldn't he as champ? 🏆","@thedoobieshrew0244you r just hating, if he can help buildup the punk show (collision) why shouldn't he as champ? 🏆",0,2024-04-28T08:55:23Z,0,,1,0,0,bezug auf z.243 @thedoobieshrew0244,0,1,1,0,0,1,1,0,0,0,0
@CHUCKECHEESERANCH,"​@@gmac673You'd be correct if he said rope opera, and only trolls use clown emojis.","@gmac673you 'd be correct if he said rope opera, and only trolls use clown emojis.",1,2024-04-28T08:57:03Z,0,,0,0,0,bezug auf z.235 @gmac673,,,,,,,,,,,
@ADuckOnQuack263,Samoa joe was the first Samoan to win the title (didn’t mention) MJF was the first Jewish champion (didn’t mention) please it should be by talent not race sheesh,samoa joe was the first samoan to win the title (didn’t mention) mjf was the first jewish champion (didn’t mention) please it should be by talent not race sheesh,2,2024-04-28T08:57:34Z,0,,1,0,0,,1,1,0,1,0,1,3,0,1,0,0
@seanbonella,Pc woker champ,pc woker champ,2,2024-04-28T09:04:18Z,2,,1,0,0,"pc woke = political correctness, woke",1,1,0,1,1,1,3,0,1,1,0
@seanbonella,Yes PC world has a lot of say,yes pc world has a lot of say,0,2024-04-28T09:04:41Z,0,,1,0,0,"bezug auf z.38 @Spawnwick_Boseman82820; scheint abwertend gemeint zu sein, pc = political correctness; weniger eigener verdienst sondern aufgrund der gesellschaftlichen tendenz zu gleichberechtigung und inklusion??",1,1,0,1,1,1,3,0,1,1,0
@CHUCKECHEESERANCH,They had 2500 but looks like a lot less due to how the venue is set up. Was around half full.,they had 2500 but looks like a lot less due to how the venue is set up. was around half full.,1,2024-04-28T09:09:15Z,0,,0,0,0,,,,,,,,,,,,
